,M,L,K,Q,chords
I,6/8,1/8,A,3/8=120,"|:f | ""A""ecA AcA | ""D""F2A ""A""E2F | ""E7""EFG ""A""ABc | ""E7""d2c B2f |
A""ecA AcA | ""D""F2A ""A""E2c | ""Bm""d2f ""A""ecA | ""E7""B3 ""A""A2 :|
| f | ""A""ecA Ace | ""D""fdf fga | ""A""ecA AGA | ""E7""BGE E2c/d/ |
""A""ecA Ace | ""D""fdf fga | ""A""ecA ""E7""BGE | ""A""A3- A2f |
""A""ecA Ace | ""D""fdf fga | ""A""ecA AGA | ""E7""BGE E2c/d/ |
""A""ece ""D""fdf | ""E7""geg ""F#m""agf | ""E7""edc BAG | ""A""A3- A2 |]"
I,6/8,1/8,G,3/8=120,"|:""G""BcB AGA|B2G D2D|""Am""E2A ABA|E2A A2A|""G""BcB AGA|B2G D2D|
""Am""EAG ""D7""FEF|""G""G3 G3::""G""Bdd Bdg|e2d B2G|""Am""E2A ABA|E2A A2c||[1 ""G""Bdd Bdg|
e2d B2G|""Am""EAG ""D7""FEF|""G""G3 G3:|[2 ""G""BcB AGA|B2G D2D|""Am""EAG ""D7""FEF|""G""G3 G3|]"
I,6/8,1/8,G,3/8=90,"~B3 GBd|~c3 Adc|~B3 GBd|cAG E/2F/2GA|
~B3 GBd|~c3 ABc|Bed cAF|AGF G3:|
|:~f3 fed|cAG FGA|~g3 gfg|afd d2e|
faf fed|cAG FGA|BdB cAF|AGF GBd:|
|:gdB gdB|ecA ecA|~B3 GBd|cAG FGA|
|[1 gdB gdB|ecA ecA|BAB GBd|cAF G3:|
|[2 gba gdB|egf ecA|BAB GBd|cAF G3|]"
I,6/8,1/8,Edor,3/8=120,"B|""D""AFD DFA|ded ""A""cBA|""Em""BGE EGA|B2A ""A7""Bcd|
""D""AFD DFA|ded ""A""cBA|""Em""Bcd ""A7""ecA|""D""d3 d2:|
g|f2d ded|faa afd|""A""cAA eAA|cAc ""A7""efg|
""D""f2d ded|faa afd|""G""Bcd ""A7""ecA|""D""d3 d2:|"
I,6/8,1/8,D,3/8=120,"|:""Em""GEE BEE|GEE BAG|""D""FDD ADD|dcd AGF|""Em""GEE BEE|
GEG B2c|""D""dcd AGF|""Em""GEE E3::""Em""Bcd e2f|e2f edB|
Bcd e2f|""Bm""edB d3|""Em""Bcd e2f|e2f edB|""D""dcd AGF|""Em""GEE E3:|"
I,6/8,1/8,D %ie. A with natural G,3/8=120,"|:cBA AEA|AEA Bcd|~c2A Ace|dBG Bcd|
~c2A AEA|AEA Bcd|Ace gfe|dBG Bcd:||
:cde efg|faf gfe|~c2e efg|faA Bcd|
cde efg|afd bge|afd gec|dBG Bcd:|
|:cBA Aaf|ecA Bcd|~c2A ~g2e|dBG Bcd|
~c2A Aaa|Agg Aff|Aee efa|dBG Bcd:|"
I,6/8,1/8,D,3/8=120,"A|:""D""FAA AFA|""G""BdB ""D""AFE|~F3 ""A7""EDE|""D""FDD D2A|
FAA AFA|""G""BdB ""D""AFA|Bcd ""A7""ecA|""D""ded d2:|
|:e|""D""f2f fed|""G""g2g gfe|""D""f2f fed|""A7""a2a bag|
""D""f2f fed|""Em""gee ""A7""ecA|""G""Bcd ""A7""ecA|""D""ded d2:|"
I,6/8,1/8,D,3/8=120,"|:""D""FAD FAD|""G""GFG ""A7""EFG|""D""FAD ""A7""FAG|""D""FDD D2E|
""D""FAD FAD|""G""G2G ""A7""EFG|""D""FAD ""A7""FAG|[1 ""D""FDD D2E:|[2 ""D""FDD D2A||
""D""Adc ded|""A""cAB ""C""=cBA|""D""Add ded|""A""cAB ""C""=c2B|
""D""Adc ded|""A""cAB ""C""=cde|""D""fed ""A""ecA|GEA ""D""D2:|"
I,6/8,1/8,D,3/8=120,"|:""D""AFD DEF|ABd B2A|ABA F2F|""G""GFG ""A""E3|
""D""AFD DEF|ABd B2A|ABA F2E|""A""EDD ""D""D3:|
|""D""fdd ede|fdd d2e|~f3 def|""G""~g3 ""A""efg|
""D""fed ""G""B2d|""D""A2d ""Bm""F3|""D""ABA ""A""F2E|""D""EDD D2A:|"
I,6/8,1/8,D,3/8=120,"|""D""def edB|AFD E2D|FAA AFA|""Em""Bee ""A""edB|
""D""def edB|AFD E2D|FAA AFA|""G""Bdd ""D""d2g:|
|:""D""fga agf|""G""gab bag|""D""fga agf|""G""gfg ""A""e2g|
""D""fga  agf|""G""gab bag|""D""fga ""A""efg|""D""fdc d2z:|"
