,M,L,K,Q,chords
I,3/4,1/4,C,1/4=90,"CD|""C""E2D|C2E|""Em""G3|E2C|""F""c2B|A2F|""C""G3|E2C|
""F""F2G|AGF|""C""G3|""A""E2F|""D""E2D|D2E|""G""F2E|DzC|
""C""E2D|C2E|""Em""G3|E2C|""F""c2B|A2F|""C""G3|E2C|
""F""F2G|AGF|""C""G3|""A""E2F|""D""E2C|""G""D2B,|""C""C3|C2C|
""F""c2B|A2F|""C""G3|E2C|""F""c2B|A2F|""C""G3 -|""C7""G2C|
""F""c2B|A2F|""C""G3|""A""E2F|""D""E2D|D2E|""G""F2E|D2C|
""C""E2D|C2E|""Em""G3|E2C|""F""c2B|A2F|""C""G3|E2C|
""F""F2G|AGF|""C""G3|""A""E2F|""D""E2C|""G""D>CB,|""C""C2D|C3|]"
I,3/4,1/4,C,1/4=90,"G|ccc|AGG|cce|g2g/g/|afa|
gec|ecA|G2G/G/|ccc|A2G|
cce|g2g/g/|afa|gec|fed|ecA|G3|
g> a g/e/|fdB|GAB|c3|]"
I,3/4,1/4,G,1/4=90,"d|""G""G2A|B2c|dg2 -|g3|
""C""g2a|g2e|""G""d3|""D7""cBA|
""G""GGA|BBc|d2e|f2g|
""A7""a2^g|a2b|""D7""a3|def|
""G""gga|bag|""C""a2g|e2d|
efg|""G""d2B|""Am""A3 -|""D7""Agg|
""G""ggg|""C""gfe|""G""ded|""E7""Bcd|
""Am""efg|""D7""a2f|""G""gdB|G2:|"
I,3/4,1/4,G,1/4=90,"B/A/|GBB|d2 B/2A/2|GBB|d2 B|
BAA|A2 B/2d/2|e2 d|B2 B/2A/2|
GBB|d2 B/2A/2|GBB|d2 B|
BAA|A2 d|edF|G2 d|
g2 d|g2 d3/2|e3/2 d/2e| d2 B|
BAA|A2 B/2d/2|e2 d|B2 d|
g2 d|g2 d3/2|e3/2 d/2e| d2 B|
BAA|A2 B/2d/2|edF|G3-|G2|]"
I,3/4,1/4,D,1/4=90,"A | ""D""d2 d | ""A7/e""e3/2d/2 e | ""D/f#""f a f | ""A7/e""e3/2d/2 e |
""D""f3/2e/2 d | ""G""d B A | ""Em""A B d | ""A7""e2 A |
""D""d2 d | ""A7/e""e3/2d/2 e | ""D/f#""f a f | ""A7/e""e3/2d/2 e |
""D""f3/2e/2 d | ""G""d B A | ""A7""A B d | ""D""d2 f ||
a2 ""G""b | ""D""a f d | a2 ""G""b | ""D""a f d |
a f d | a f d | ""Em""b>a g/2f/2 | ""A7""e2 A |
""D""d2 d | ""A7/e""e3/2d/2 e | ""D/f#""f a f | ""A7/e""e3/2d/2 e |
""D""f3/2e/2 d | ""G""d B A | ""A7""A B d | ""D""d2 |]"
I,3/4,1/8,D,1/4=90,"|:E3 GFE|B4Bc|dcB edc|dcB AGF|
E3 GFE|B4Bc|dcB AGA|[1 B3 GFD:|[2 B3 zef|
|:gBB ggB|=c4ef|gfa gfe|^d2e2f2|
gBB ggB|=c4ef|gfa gfd|[1 e4ef:|[2 e6|]"
I,3/4,1/8,D,1/4=90,"Ac|d3 cBA|F4EF|G3 FED|B,2D3B,|
A,2D2F2|A2d2f2|f4 gf|e4Ac|
d3 cBA|F4EF|G3 FED|B,2D3B,|
A,2D2F2|A2d2f2|A2c2e2|d4FG|
A3 FD2|d4A2|B3 cd2|AF3E2|
F3 ED2|B,4G,2|A,6|A4FE|
D2F2A2|=c6|B3 cd2|A2F2D2|
A,2D2F2|A2d2F2|E3 DC2|D4|]"
I,3/4,1/8,G,1/4=90,"|:""G""G2G ABG|""D7""A2A BcA|""G""G2G ABd|""D7""c2A2F2|
""G""G2G ABG|""D7""A2A BcA|d2d efd|c2A2F2:|
|:""G""g2g agf|""D7""d2g2a2|""G""b2a2g2|""D7""f2g2a2|
""G""b2a2g2|""D7""f2d efd|dcA dcA|A2""G""G4:|"
I,3/4,1/8,F,1/4=90,"|:""F""F3 E FG|""Am""Ac3cd|""Dm""c3 AG2|""Fmaj7""F3 G (3AGF|
""Gm""B3 A GA|""GmMaj7""Bd3df|""Gm7""d3 BA2|""C7""G3 A (3BAG|
""F""A3 F AF|""Am""Ac3 fg|""Dm""a3 g f2|""Bb""d3 e fg|
""Dm""a3 g f2|""Am""ge3 cA|""Dm""Add2c2|d3 e fg|
""F""a3 g ab|""Am""a2g2f2|""Gm""B3 A Bc|""GmMaj7""B2c2d2|
""C7""g3 f ga|g2f2e2|""F""A3 G AB|""Am""A2B2c2|
""Dm""f3 e fg|f2e2d2|""Gm""G3 F GA|G2F2D2|
""Dm""c/2A7/2F2|""Am""G/2E7/2C2|""Dm""D3 E FE|D4 DE:|"
I,3/4,1/8,G,1/4=90,"dc (3BcB G>E||""G""D2 B3D|""B7""_E2 B3_E|""Em""=E2 B3d|""G7""c2 B2 A2|""C""G2 E3G|""D7""F2 GA3|""G""D6|D3B, C^C
|[1 ""G""D2 B3D|""B7""_E2 B3_E|""Em""=E2 B3d|""G7""c2 B2 A2|""C""G2 E3G|""D7""F2 GA3|""G""G6|G3D (3EFE :|
|[2 ""G""D2 B3d|""B7""_e2 B3E|""Em""=E2 B3d|""G7""ed Bd BA|""C""G2 E3G|""D7""F2 GA3|""G""G6|G3d ef|
|:""G"" g6|""Bm""f2 dB3|""C""c3d (3efg|""G""d6|""C""e3f (3gfe|""G""de dc B2|""A7""A2 ^c2 (3efe|""D7""d3d ef|
""G""g6|""Bm""f2 dB3|""C""c3d (3efg|""G""d4 dB|""Am""c3c2c|""D7""c2 B2 F2|[1 ""G""G6|G3d ef :|[2 ""G""g6|G3B, C^C|]"
